Features,Average Scores
rad_glob_int,0.185
air_hum_int,0.169
soil_text4,0.168
soil9,0.157
soil_text7,0.148
soil_text,0.139
nox_int,0.128
soil7,0.118
soilTextSum,0.109
no2_int,0.088
ndvi,0.083
dsf3,0.072
dsf2,0.063
temp_2m,0.058
aq_zone,0.036
pm10_int,0.033
nmvocs_cams,0.024
pm25_cams,0.022
no2_cams,0.018
soilSum,0.016
highway,0.007
prim_road,0.003
int_prim_sec,-0.004
co_cams,-0.006
press,-0.006
aod_055,-0.017
temp_int,-0.018
nh3_cams,-0.02
pm10_cams,-0.026
wind_dir_int,-0.043
aod_047,-0.044
soil8,-0.048
soil,-0.052
soil2,-0.059
soil_text2,-0.061
sec_road,-0.068
soil_text9,-0.071
soil_text10,-0.073
soil_text5,-0.075
pop,-0.077
int_sec,-0.084
soil5,-0.088
soil_text1,-0.096
farm_poultry,-0.106
farm_sheep,-0.112
farm_pigs,-0.128
soil4,-0.129
clim_zone,-0.13
soil_text6,-0.131
soil_text3,-0.135
nh3_int,-0.145
int_prim,-0.146
soil1,-0.158
o3_cams,-0.192
o3_int,-0.257
