Protocol,Unnamed: 0,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
All,-0.030060483109623063,0.7405659994597381,0.7656356704887277,0.7668964628567745,0.7200458015350348,0.7976593837420318,0.8003251950276992,-0.8160711787555612,-0.8586625691416486,-0.8614267297444206,0.6339164587639518,0.7132508099410342,0.7167072866550267,0.7852414778237916,0.8596251021521091,0.8622963040125917,0.7110745087258066,0.7309536583465722,0.730168870938657,0.8442568887603559,0.8985287658992924,0.8991013711070405,0.16182018149205193,0.2222628044574433,0.2282766788221261,0.6625407264378763,0.7726564640862843,0.7748399622923557,0.34952679211738535,0.23700427750713549,0.24285287914185025
Nospills,-0.017399169799866613,0.7411628335808839,0.766290223902973,0.7675189882281029,0.7138659949551673,0.7903775486917289,0.7930109018354248,-0.8162653254687142,-0.8589106789494929,-0.8616539940847617,0.6270740702541573,0.7051443316371085,0.708581654606546,0.7804896287777784,0.8539549916249678,0.8566551821617162,0.7095432413990869,0.7299624520658187,0.7291157303940708,0.8449929029355034,0.8999661569390732,0.9004681112088202,0.15443523736177578,0.2172264592235847,0.22337581479040108,0.6564691041068239,0.7653136409900685,0.7674927235125146,0.3498965339378118,0.2376576839905691,0.24349997750581945
Spills,-0.05615100858084888,0.7343382798452113,0.7588463275289744,0.7602261713152774,0.7352425774437068,0.8142140970585034,0.8170840046821154,-0.812977046158259,-0.8539003403717895,-0.8567401984081346,0.6511024141259206,0.7326378975703044,0.7363643331241043,0.7964101753751832,0.8715768380419285,0.8743361815352912,0.7108444917515171,0.7286982475786065,0.7281747310096,0.8387574415379973,0.8908566302937627,0.8916313247105352,0.17514585447449385,0.22988814528585486,0.23565663380337132,0.676568292403817,0.7881749827609126,0.7905320115987966,0.3512970798252662,0.23975063200905541,0.24560319055507057
