Scores,Variables
1.2584661483413026e-07,left
0.0010388154395735679,bottom
1.258466148341294e-07,right
0.0010388154395735679,top
1.2584661483412923e-07,lng_cen
0.0010388154395735642,lat_cen
1.530528653259074e-05,dusaf
2.9430207423320745e-05,dusafSum
0.0010033271473183925,dsf2
0.0008656055841149242,dsf3
1.4525057188012898e-05,dfs4
1.0848335419702989e-06,dfs5
0.00026239171463431874,dfs11
0.00033949974334702445,dfs12
0.00014220625349336486,dfs13
0.00015389170247362177,dfs14
3.675522222029684e-05,siarl
2.929269087204419e-05,siarlSum
0.0003672242097948825,siarl2
0.0006725724233066017,siarl9
2.1164197988547712e-05,siarl12
0.0028682980995280412,h_mean
0.0001790320348878787,aspect_mean
0.004508932445315315,slope_mean
1.0492162782442955e-05,soil
5.866187860689294e-06,soilSum
6.906407732547023e-06,soil1
9.347513039842833e-06,soil2
8.78950202652268e-06,soil4
3.140111580209882e-05,soil5
0.0,soil6
1.1900821778060741e-06,soil7
6.979905558227113e-05,soil8
0.00012135520432445555,soil9
0.0002605788908150987,soil_text
2.9420564943296194e-05,soilTextSum
2.3979627059024644e-06,soil_text1
1.53410842204529e-05,soil_text2
3.171705593094654e-05,soil_text3
0.00020846687921891174,soil_text4
0.0001391417891633383,soil_text5
3.1864237318473445e-05,soil_text6
5.4077981171750866e-05,soil_text7
8.562904503124384e-06,soil_text8
0.000589575258559727,soil_text9
2.529883243982375e-06,soil_text10
0.00016518467954264074,soil_moist
0.0007875445935513342,ndvi
0.003118087575331346,temp_2m
0.00037539773727352963,prec
0.004978381411001592,press
7.065785136619269e-06,n_wind
0.00014030205222885628,e_wind
0.00385005906483049,no2_s5p
0.000696554817142508,so2_s5p
0.001575737693754756,aod_055
0.0016045688127014608,aod_047
7.506267453258107e-05,uvai
0.004234577749675449,co_s5p
0.0008101451697941519,ch2o_s5p
3.946614981986535e-06,o3_s5p
0.0015185778134892023,nh3_cams
0.0006856089593728599,no_cams
0.01121334911920838,co_cams
0.0017383194876908331,dust_cams
1.0,pm10_cams
0.0031014598003886555,no2_cams
0.00502954657783492,nmvocs_cams
0.001287548194752738,so2_cams
0.005266896761280652,o3_cams
0.00010878676074104919,pop
0.00035725514427242767,int_prim
0.0004934703144515304,int_prim_sec
0.00044603071242254027,int_sec
0.00012704891786848575,highway
0.0002360376252799475,prim_road
0.0005440876548243966,sec_road
0.000731838446087088,farms
0.00021448974064164957,farm_pigs
0.00026647597541354416,farm_poultry
1.1635447890395377e-06,farm_sheep
0.00028399759939074935,co_int
3.2825453727128594e-05,nh3_int
0.0004582618764140698,no2_int
0.00029732050022746243,nox_int
0.0005989096668595142,o3_int
0.0013253559806522077,pm10_int
1.1511087294445676e-05,pm25_int
9.897886072662099e-06,so2_int
0.0008222703997707014,air_hum_int
1.4682932692214255e-05,prec_int
1.1690695622303486e-05,rad_glob_int
0.0024659149184445167,temp_int
0.00024842101880426275,wind_dir_int
0.0001728947357681427,wind_speed_int
