Features,Average Scores
pm10_int,0.203
temp_int,0.196
o3_int,0.079
temp_2m,0.062
clim_zone,0.058
press,0.052
rad_glob_int,0.037
soil_text4,0.027
nh3_cams,0.024
o3_cams,0.023
wind_dir_int,0.023
nh3_int,0.021
no2_int,0.02
prim_road,0.013
air_hum_int,0.012
soil_text9,0.011
soil_text3,0.01
pm25_cams,0.01
nmvocs_cams,0.008
aod_047,0.008
pm10_cams,0.008
nox_int,0.007
ndvi,0.007
soil8,0.007
co_cams,0.007
farm_sheep,0.005
dsf3,0.005
int_prim,0.005
dsf2,0.005
no2_cams,0.004
highway,0.004
int_prim_sec,0.004
soil7,0.004
farm_poultry,0.003
farm_pigs,0.003
pop,0.003
soilSum,0.003
soil5,0.002
soil_text10,0.002
soil_text1,0.002
soil_text,0.002
int_sec,0.002
soilTextSum,0.001
sec_road,0.001
soil_text5,0.001
soil_text7,0.001
aq_zone,0.001
soil4,0.001
soil9,0.001
soil_text6,0.001
soil,0.0
soil1,0.0
soil2,0.0
soil_text2,0.0
