Features,Average Scores
pm10_int,0.664
rad_glob_int,0.071
wind_dir_int,0.037
press,0.035
no2_int,0.019
o3_cams,0.016
temp_2m,0.014
aod_047,0.012
o3_int,0.009
farm_sheep,0.009
dsf3,0.008
nh3_cams,0.008
air_hum_int,0.008
soil4,0.007
aod_055,0.006
highway,0.005
soil_text3,0.005
co_cams,0.005
int_prim,0.004
no_cams,0.004
pop,0.003
nox_int,0.003
pm10_cams,0.003
clim_zone,0.003
nh3_int,0.003
no2_cams,0.003
soil_text9,0.003
ndvi,0.003
soil8,0.003
pm25_cams,0.002
soil_text4,0.002
int_prim_sec,0.002
soilSum,0.002
soil_text7,0.002
farm_pigs,0.002
temp_int,0.002
prim_road,0.002
nmvocs_cams,0.002
farm_poultry,0.001
sec_road,0.001
soil5,0.001
soil7,0.001
soil_text1,0.001
aq_zone,0.001
dsf2,0.001
soil_text5,0.001
soil_text10,0.001
int_sec,0.001
soil2,0.001
soil_text,0.001
soilTextSum,0.0
soil9,0.0
soil1,0.0
soil_text6,0.0
soil,0.0
soil_text2,0.0
