Features,Average Scores
nh3_int,0.496
pm10_int,0.264
o3_int,0.083
nh3_cams,0.024
temp_int,0.012
pm10_cams,0.01
nox_int,0.009
temp_2m,0.008
aod_047,0.007
soil_text4,0.005
dsf2,0.005
rad_glob_int,0.005
wind_dir_int,0.005
soil_text3,0.005
int_sec,0.004
no2_int,0.004
ndvi,0.004
nmvocs_cams,0.004
farm_poultry,0.003
int_prim,0.003
air_hum_int,0.003
highway,0.002
soil4,0.002
o3_cams,0.002
press,0.002
no_cams,0.002
pm25_cams,0.002
soil_text9,0.002
int_prim_sec,0.002
farm_sheep,0.002
dsf3,0.002
soil7,0.001
farm_pigs,0.001
soil_text1,0.001
co_cams,0.001
soil5,0.001
prim_road,0.001
soil_text7,0.001
aq_zone,0.001
soil8,0.001
no2_cams,0.001
soilSum,0.001
soil_text5,0.001
sec_road,0.001
pop,0.001
soil_text2,0.001
soil_text10,0.0
clim_zone,0.0
soil9,0.0
soil_text,0.0
soil_text6,0.0
soilTextSum,0.0
soil1,0.0
soil2,0.0
soil,0.0
