Features,Average Scores
o3_int,0.22
clim_zone,0.21
nh3_int,0.082
o3_cams,0.05
temp_2m,0.049
soil_text5,0.044
air_hum_int,0.02
press,0.019
rad_glob_int,0.019
wind_dir_int,0.019
nmvocs_cams,0.018
no2_cams,0.014
temp_int,0.013
soil8,0.012
soil_text3,0.011
pm10_int,0.01
co_cams,0.01
farm_sheep,0.009
no2_int,0.009
soil_text4,0.008
farm_poultry,0.008
nh3_cams,0.008
pop,0.008
aod_047,0.008
soil_text9,0.008
pm10_cams,0.007
aod_055,0.007
int_prim,0.007
int_prim_sec,0.007
nox_int,0.006
soil4,0.006
farm_pigs,0.006
int_sec,0.006
prim_road,0.006
ndvi,0.005
pm25_cams,0.005
dsf2,0.005
soilSum,0.005
dsf3,0.005
soil7,0.005
sec_road,0.005
soil_text2,0.003
soil_text1,0.003
aq_zone,0.002
soil_text,0.002
soil_text7,0.002
highway,0.002
soil_text10,0.002
soilTextSum,0.001
soil9,0.001
soil5,0.001
soil_text6,0.0
soil2,0.0
soil,0.0
soil1,0.0
