Features,Average Scores
temp_2m,0.276
o3_int,0.104
wind_dir_int,0.08
pm10_int,0.069
aod_047,0.061
clim_zone,0.054
no2_int,0.036
dsf2,0.026
o3_cams,0.026
nh3_int,0.02
soil4,0.016
soil_text7,0.016
nmvocs_cams,0.014
nox_int,0.013
pm25_cams,0.013
ndvi,0.013
temp_int,0.012
rad_glob_int,0.012
soil_text4,0.011
press,0.011
pm10_cams,0.01
soilSum,0.009
air_hum_int,0.008
farm_sheep,0.008
soil7,0.008
int_prim,0.007
soil_text9,0.005
nh3_cams,0.005
dsf3,0.005
farm_poultry,0.005
int_prim_sec,0.004
soil5,0.004
no2_cams,0.004
prim_road,0.004
soil8,0.003
soil_text1,0.003
farm_pigs,0.003
co_cams,0.003
soil_text3,0.003
soil_text5,0.002
pop,0.002
int_sec,0.002
soil1,0.002
sec_road,0.001
soil_text,0.001
soil,0.001
soil2,0.001
soilTextSum,0.001
soil_text6,0.001
highway,0.001
soil_text2,0.001
soil9,0.0
aq_zone,0.0
soil_text10,0.0
